reference,nom,hexa,rgb_r,rgb_g,rgb_b,cmyk_c,cmyk_m,cmyk_y,cmyk_k,hsv_h,hsv_s,hsv_v
RAL 9002,Blanc Gris,#E7EBDA,231,235,218,2,0,7,8,0.21,0.07,0.92
RAL 9003,Blanc Securite,#F4F4F4,244,244,244,0,0,0,4,0,0,0.96
RAL 9005,Noir Profond,#0A0A0A,10,10,10,0,0,0,96,0,0,0.04
RAL 9006,Aluminium Blanc,#A5A5A5,165,165,165,0,0,0,35,0,0,0.65
RAL 9007,Aluminium Gris,#8F8F8F,143,143,143,0,0,0,44,0,0,0.56
RAL 9010,Blanc Pur,#FFFFFF,255,255,255,0,0,0,0,0,0,1
RAL 9011,Noir Graphite,#1C1C1C,28,28,28,0,0,0,89,0,0,0.11
RAL 9017,Noir signalisation,#1E1E1E,30,30,30,0,0,0,88,0,0,0.12
RAL 9018,Blanc Papyrus,#D7D7D7,215,215,215,0,0,0,16,0,0,0.84
RAL 9021,Noir Camouflage Otan Goudron,#151618,21,22,24,13,8,0,91,0.61,0.13,0.09
RAL 9023,Gris Foncé Nacré,#828282,130,130,130,0,0,0,49,0,0,0.51
